id,name,parent_id
33494,Financial Sector,33493
33496,Government,33493
33495,Non-Financial Corporations,33493
33257,Total Work Started,33256
33398,EC Indicator,33263
33399,EC and National Indicators,33269
33382,EC and National Indicators,33276
33384,EC Indicator,33296
33383,EC and National Indicators,33314
33385,EC Indicator,33320
33381,EC Indicator,33326
33396,EC and National Indicators,33283
33393,EC and National Indicators,33290
33394,EC and National Indicators,33302
33395,EC and National Indicators,33308
33392,National Indicator,33332
33390,EC and National Indicators,33346
33387,EC Indicator,33352
33388,EC Indicator,33363
33391,EC Indicator,33358
33389,EC and National Indicators,33376
33386,National Indicator,33370
33920,"Fremont (Includes Yellowstone Park) County, ID",27915
33486,NECTA Divisions,32113
33638,NECTA Divisions,32123
